"department_id","aisle_id","product_id","product_name","aisle","department"
1,37,32475,"Meyer Lemon Sorbet","ice cream ice","frozen"
1,37,18020,"Black Raspberry Chocolate Chip Ice Cream","ice cream ice","frozen"
1,37,20175,"The Original Vanilla Ice Cream Sandwich","ice cream ice","frozen"
1,37,49459,"Dark Chocolate Non Dairy Frozen Dessert Bar","ice cream ice","frozen"
1,37,8507,"Fun Flavors Spumoni Ice Cream","ice cream ice","frozen"
1,37,30176,"Fruit Bars Straw Tangerine","ice cream ice","frozen"
1,37,36242,"Eskimo Pie Milk Chocolate Frozen Dairy Dessert Bars","ice cream ice","frozen"
1,37,15709,"Chocolate Grand Ice Cream","ice cream ice","frozen"
1,37,39285,"Vanilla Raspberry Swirl Frozen Yogurt","ice cream ice","frozen"
1,37,29566,"Java Chip Ice Cream","ice cream ice","frozen"
1,37,8668,"Homemade Vanilla Ice Cream","ice cream ice","frozen"
1,37,42882,"Madagascar Bourbon VanillaBean  Ice Cream","ice cream ice","frozen"
1,37,25872,"Salted Caramel & Chocolate Non Dairy Frozen Dessert","ice cream ice","frozen"
1,37,8612,"Old-Fashioned Vanilla Ice Cream","ice cream ice","frozen"
1,37,40215,"Banana Cinnamon Frozen Pops","ice cream ice","frozen"
1,38,43606,"Breaded Chicken Sandwich","frozen meals","frozen"
1,38,21008,"Shrimp & Vegetable Stir Fry","frozen meals","frozen"
1,37,9223,"Spiced Pumpkin Frozen Yogurt","ice cream ice","frozen"
1,38,47657,"Macaroni & Cheese with Broccoli","frozen meals","frozen"
1,37,36941,"Rock It Red Frozen Veggie and Fruit Pops","ice cream ice","frozen"
1,37,3532,"Caramel Sea Salt Gelato","ice cream ice","frozen"
1,38,43770,"Classic Meat Loaf Complete Meals","frozen meals","frozen"
1,38,7887,"Pesto Ravioli","frozen meals","frozen"
1,37,18379,"Raspberry Sorbet","ice cream ice","frozen"
1,79,23037,"Singles Pepperoni French Bread Pizzas","frozen pizza","frozen"
1,37,944,"Vanilla Orange Swirl Ice Cream","ice cream ice","frozen"
1,38,25452,"Beef Tamales","frozen meals","frozen"
1,37,22557,"White Vanilla Bean Ice Cream Dipped in White Chocolate","ice cream ice","frozen"
1,37,24295,"All Natural Raspberry Sorbet","ice cream ice","frozen"
1,37,10891,"Carb Smart Vanilla Frozen Dairy Dessert","ice cream ice","frozen"
1,38,7002,"Chicken, Broccoli & Cheddar Frozen Sandwiches","frozen meals","frozen"
1,37,13732,"Outshine Fruit Bars Assorted Fruit","ice cream ice","frozen"
1,37,12077,"Ice Cream Super Chunky Cookie Dough","ice cream ice","frozen"
1,37,1822,"Chocolate Mint Ganache Ice Cream Cones","ice cream ice","frozen"
1,37,34985,"Orange Cream Low Fat Ice Cream Bars","ice cream ice","frozen"
1,37,7804,"Watermelon Pops","ice cream ice","frozen"
1,38,13277,"Microwaveable Hamburgers","frozen meals","frozen"
1,38,36390,"Grilled Chicken Alfredo Bake Frozen Dinner","frozen meals","frozen"
1,38,8929,"Organic Chicken Pot Pie","frozen meals","frozen"
1,37,14469,"Caramel Praline Crunch Fat Free Frozen Yogurt","ice cream ice","frozen"
1,38,35742,"Honey Crunchy Flavor Corn Dogs 6 Count","frozen meals","frozen"
1,38,13389,"Get Cultured  Functional Breakfast Burrito","frozen meals","frozen"
1,38,44213,"Shrimp, Asparagus & Penne Pasta","frozen meals","frozen"
1,37,18788,"Buttery Pecan Ice Cream","ice cream ice","frozen"
1,37,37143,"Strawberry Truffle Gelato","ice cream ice","frozen"
1,37,21671,"Premium Vanilla Ice Cream Sandwiches","ice cream ice","frozen"
1,38,16796,"Gluten Free Chicken Florentine","frozen meals","frozen"
1,38,30120,"Backyard BBQ Meal","frozen meals","frozen"
1,38,14204,"Organic White Meat Chicken Pie","frozen meals","frozen"
1,37,10213,"Rumplemint Goat's Milk Ice Cream","ice cream ice","frozen"
1,38,30162,"Teriyaki & Pineapple Chicken Meatballs","frozen meals","frozen"
1,38,4042,"Chicken Curry with Seasoned Basmati Rice","frozen meals","frozen"
1,37,21632,"Butterfinger Ice Cream","ice cream ice","frozen"
1,38,49345,"Beef & Bean Red Chili Burritos","frozen meals","frozen"
1,38,49392,"Welsh Rarebit","frozen meals","frozen"
1,38,26428,"Salisbury Steak Frozen Dinner","frozen meals","frozen"
1,38,26917,"Beef & Bean Green Chili Burritos","frozen meals","frozen"
1,37,45361,"Sugar Cookie with Sea Salted Caramel  Ice Cream Sandwiches","ice cream ice","frozen"
